comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Hispanic_vs_White,casthma,Asthma,lacktrpt,Transportation barriers,hrsn,-0.6035,1.1347,1.0158,1.2679,-188.03,7.3207,15.2636,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,emotionspt,Lack of social support,hrsn,-0.6035,-0.1402,-0.1771,-0.1012,23.23,22.1557,31.7518,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,pct_poverty,pct_poverty,demographic,-0.6035,-0.0105,-0.0254,0.0041,1.74,10.689,19.1501,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,pct_college,pct_college,demographic,-0.6035,0.4326,0.4199,0.4438,-71.69,36.3351,16.2687,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,pct_65plus,pct_65plus,demographic,-0.6035,0.0233,0.0115,0.0355,-3.86,19.0889,11.2889,38240,5201,47.17,ecological
Hispanic_vs_White,casthma,Asthma,median_age,median_age,demographic,-0.6035,0.0394,0.0248,0.0533,-6.53,41.9359,33.7491,38240,5201,47.17,ecological
Hispanic_vs_White,obesity,Obesity,loneliness,Loneliness/Social isolation,hrsn,1.1056,-0.9669,-1.0722,-0.8543,-87.45,32.3089,39.5593,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,foodstamp,Food stamps/SNAP,hrsn,1.1056,1.7921,1.5429,2.0312,162.09,10.5907,27.3053,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,foodinsecu,Food insecurity,hrsn,1.1056,12.5283,11.7813,13.28,1133.14,12.9185,31.9295,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,housinsecu,Housing insecurity,hrsn,1.1056,-12.7511,-13.3382,-12.1073,-1153.3,10.4715,25.3416,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,shututility,Utility shutoff threat,hrsn,1.1056,9.4297,9.1567,9.7136,852.88,6.995,13.3884,38240,5201,130.79,ecological
