tract_fips,state_abbr,county_name,total_population,predicted_gain,loneliness,foodstamp,foodinsecu,housinsecu,shututility,lacktrpt,emotionspt,rank
06107001601,CA,Tulare,5556.0,6314.295671595128,39.7,48.2,47.7,35.3,20.1,23.5,32.3,286
36005008600,NY,Bronx,4304.0,6309.561197677777,44.6,55.9,58.0,44.3,27.4,27.3,38.3,287
13067031004,GA,Cobb,8837.0,6309.277360664332,42.0,30.1,35.2,28.1,18.5,17.7,30.1,288
39061006800,OH,Hamilton,4550.0,6306.267124427225,38.3,50.9,45.5,33.3,30.3,23.3,29.5,289
25027732001,MA,Worcester,3829.0,6305.2319360655165,42.4,64.3,53.3,39.4,30.8,28.9,31.5,290
51760030100,VA,Richmond,2685.0,6303.452426752899,46.3,77.5,67.2,49.9,44.9,38.3,34.2,291
45045002003,SC,Greenville,5505.0,6298.820674876366,36.5,37.3,47.3,32.9,24.2,21.6,29.9,292
22033003400,LA,East Baton Rouge,6433.0,6298.81846137284,40.9,41.4,41.6,30.8,24.6,20.4,37.0,293
34029715001,NJ,Ocean,10668.0,6296.761516507221,35.7,23.5,29.7,23.6,15.8,15.9,26.4,294
26163500700,MI,Wayne,4318.0,6295.222434057593,39.1,53.4,48.2,37.9,32.1,24.9,35.4,295
04009940500,AZ,Graham,4333.0,6291.359399046716,38.9,49.1,53.7,36.0,28.5,30.9,37.2,296
17031611400,IL,Cook,3587.0,6281.096324458194,38.4,60.7,61.7,45.1,29.9,29.4,32.3,297
06031001100,CA,Kings,6373.0,6280.548559899956,41.8,44.6,44.6,33.3,18.8,21.8,32.9,298
06037240200,CA,Los Angeles,6345.0,6276.981488517518,46.7,47.4,47.3,37.3,19.2,23.0,38.1,299
22041950300,LA,Franklin,5042.0,6268.350803712397,41.2,49.4,47.9,32.9,27.4,24.2,35.7,300
36047098200,NY,Kings,4243.0,6254.349871309522,43.2,56.4,55.0,41.9,29.7,26.8,38.7,301
25023510800,MA,Plymouth,8026.0,6252.297303714699,42.1,40.0,33.4,29.3,19.9,19.0,35.0,302
39049007553,OH,Franklin,6778.0,6250.817138614292,46.0,38.3,39.1,29.0,23.8,20.3,31.4,303
36005015100,NY,Bronx,5143.0,6248.82337966157,43.9,47.8,50.8,41.8,25.1,23.4,38.6,304
37119003902,NC,Mecklenburg,5321.0,6242.339859219008,37.9,45.4,43.6,31.6,25.7,22.1,31.6,305
17037001002,IL,DeKalb,6505.0,6237.534198504394,44.1,42.8,40.3,26.8,20.2,24.0,30.1,306
55079004700,WI,Milwaukee,3716.0,6236.265434840714,42.1,69.4,56.7,39.6,30.7,29.7,35.6,307
09170140800,CT,South Central Connecticut,4134.0,6229.021935190048,41.3,53.4,50.2,39.1,32.3,27.0,35.2,308
06019008200,CA,Fresno,5946.0,6227.564101162508,41.1,44.8,47.4,34.9,19.2,22.5,33.1,309
36047090000,NY,Kings,4584.0,6225.3740853972495,41.7,52.6,51.1,40.1,28.6,24.7,38.3,310
25013802300,MA,Hampden,6474.0,6209.114271713327,42.8,47.3,40.7,32.4,21.5,20.8,36.5,311
06047001700,CA,Merced,7308.0,6206.538865753608,39.9,40.4,39.3,29.1,17.6,19.3,30.7,312
17031440101,IL,Cook,3986.0,6196.579102823217,42.9,60.6,54.2,42.1,31.9,26.9,38.6,313
