outcome,model,fold,cv_strategy,n_train,n_test,rmse,mae,r2_oos,r2_insample
copd,SVI + Covariates,28,State-Blocked (LOSO),59531,597,0.5284794038039864,0.3831170959798671,0.6714738234184181,0.7889638949222445
copd,SVI + Covariates,29,State-Blocked (LOSO),54903,5225,0.42911601661073706,0.33041193004493924,0.7119328128646604,0.7905097981298115
copd,SVI + Covariates,30,State-Blocked (LOSO),57490,2638,0.4668343031369576,0.34071407832710643,0.7805119594420885,0.7877789269262314
copd,SVI + Covariates,31,State-Blocked (LOSO),59900,228,0.4936214614846318,0.3998705841578016,0.41975502269906073,0.7885468938611648
copd,SVI + Covariates,32,State-Blocked (LOSO),56979,3149,0.5441453592000811,0.3661286550463348,0.7402259928914304,0.7860817971955559
copd,SVI + Covariates,33,State-Blocked (LOSO),58938,1190,0.5496701145225686,0.4095646071535046,0.6726413160518568,0.7884559830012681
copd,SVI + Covariates,34,State-Blocked (LOSO),59882,246,0.3553810422688134,0.2598098093324254,0.6116176184201639,0.7882202580201696
copd,SVI + Covariates,35,State-Blocked (LOSO),58827,1301,0.4796463628671398,0.3533992471609213,0.7547062680991432,0.7877514813938444
copd,SVI + Covariates,36,State-Blocked (LOSO),59424,704,0.5267538868924273,0.4200682561045761,-0.20592284488853263,0.788997296792779
copd,SVI + Covariates,37,State-Blocked (LOSO),57971,2157,0.4280647785887284,0.3212245172493582,0.8165363677973508,0.7867318116671179
copd,SVI + Covariates,38,State-Blocked (LOSO),59583,545,0.8647029189316284,0.6514526039496096,0.39633593681637225,0.7878151841831973
copd,SVI + Covariates,39,State-Blocked (LOSO),58605,1523,0.4388257045778543,0.3377508360709118,0.5982701676877106,0.7901931883851168
copd,HRSN + SVI + Covariates,0,State-Blocked (LOSO),58701,1427,0.3288611140724866,0.2457235235831709,0.90028641596635,0.9041184942366539
copd,HRSN + SVI + Covariates,1,State-Blocked (LOSO),59955,173,0.27074201087434574,0.20464990115367201,0.8627064303720038,0.9050549938989427
copd,HRSN + SVI + Covariates,2,State-Blocked (LOSO),58398,1730,0.3594254269554826,0.24357304005652708,0.876890265707913,0.9057471985386064
copd,HRSN + SVI + Covariates,3,State-Blocked (LOSO),59309,819,0.44652434886352765,0.35539686714409685,0.8011728814124572,0.9053170125991967
copd,HRSN + SVI + Covariates,4,State-Blocked (LOSO),51108,9020,0.2974590397825779,0.23814608332029785,0.7824327788598876,0.9020086617330804
copd,HRSN + SVI + Covariates,5,State-Blocked (LOSO),59256,872,0.35398417402587506,0.2740870897571362,0.614060709324593,0.9060434750520763
copd,HRSN + SVI + Covariates,6,State-Blocked (LOSO),59872,256,0.2602698246189787,0.19371007759466374,0.855328203925017,0.9050931565928247
copd,HRSN + SVI + Covariates,7,State-Blocked (LOSO),59925,203,0.3427200913309346,0.2424356570334266,0.8498366064423981,0.9048568238790529
copd,HRSN + SVI + Covariates,8,State-Blocked (LOSO),57349,2779,0.28804462269422815,0.2180961221640473,0.9171751326383558,0.9043328645797085
copd,HRSN + SVI + Covariates,9,State-Blocked (LOSO),59712,416,0.7406783164891564,0.6531550669785271,-0.2987090847163669,0.9076441421200883
copd,HRSN + SVI + Covariates,10,State-Blocked (LOSO),59676,452,0.2707947039591644,0.207135482320482,0.8325439177092679,0.9052314961393385
copd,HRSN + SVI + Covariates,11,State-Blocked (LOSO),56872,3256,0.26930027066521345,0.19605824993931847,0.9134613117723219,0.904399529093437
copd,HRSN + SVI + Covariates,12,State-Blocked (LOSO),58447,1681,0.35369871944338754,0.2670362445677985,0.8573587795658986,0.9049570959367658
copd,HRSN + SVI + Covariates,13,State-Blocked (LOSO),59236,892,0.26890298929129863,0.21232082205458352,0.835666673131505,0.9053936417642175
copd,HRSN + SVI + Covariates,14,State-Blocked (LOSO),59313,815,0.25353670225643976,0.19175225246876876,0.8887487171917539,0.9051068316402077
copd,HRSN + SVI + Covariates,15,State-Blocked (LOSO),58766,1362,0.366944402734793,0.27982649061950476,0.8994752032293196,0.9037334966116487
copd,HRSN + SVI + Covariates,16,State-Blocked (LOSO),59728,400,0.34004778133062336,0.2645216957205955,0.8373621583830136,0.9049968983980936
copd,HRSN + SVI + Covariates,17,State-Blocked (LOSO),58673,1455,0.26262398518384905,0.20251261385434083,0.9049443517924309,0.9047716925913865
copd,HRSN + SVI + Covariates,18,State-Blocked (LOSO),58541,1587,0.26106190884816866,0.19413400690587376,0.8820153947445787,0.9050547779272949
copd,HRSN + SVI + Covariates,19,State-Blocked (LOSO),57247,2881,0.3154065195042481,0.22351213321480268,0.9068133009748357,0.9028923153508202
copd,HRSN + SVI + Covariates,20,State-Blocked (LOSO),58631,1497,0.3480411843150351,0.30204150214195974,0.6704182611471196,0.9063736244893162
copd,HRSN + SVI + Covariates,21,State-Blocked (LOSO),59259,869,0.745408865112013,0.6442757155824219,0.4696485661024855,0.9095397719940056
copd,HRSN + SVI + Covariates,22,State-Blocked (LOSO),58482,1646,0.4268656783235014,0.3212631159797116,0.831053759083618,0.905986680783798
copd,HRSN + SVI + Covariates,23,State-Blocked (LOSO),59813,315,0.2721932397545193,0.20433991076627045,0.8725689210444127,0.905066238068548
copd,HRSN + SVI + Covariates,24,State-Blocked (LOSO),59581,547,0.4158789925390541,0.370812704171656,0.6004266605505819,0.9061301029515341
copd,HRSN + SVI + Covariates,25,State-Blocked (LOSO),59360,768,0.3390901553165772,0.26221555144117153,0.8244535051474455,0.9056049968064793
copd,HRSN + SVI + Covariates,26,State-Blocked (LOSO),59781,347,0.2538598719318121,0.20852776893639513,0.8005419041041659,0.9051728312022794
copd,HRSN + SVI + Covariates,27,State-Blocked (LOSO),57968,2160,0.23938517649428662,0.18741915072446055,0.8564910414357296,0.9043228856785351
copd,HRSN + SVI + Covariates,28,State-Blocked (LOSO),59531,597,0.43266073462027255,0.3545880939992252,0.7798043104241382,0.9059344856491818
